Gen	theta_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	theta_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	theta_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	theta_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_14NeaDen	theta_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_16Spain_EURChinese_EASPeru_AMR	theta_17Chinese_EASPeru_AMR	tau_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	tau_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	tau_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	tau_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_14NeaDen	tau_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_16Spain_EURChinese_EASPeru_AMR	tau_17Chinese_EASPeru_AMR	lnL
10430	0.2519	0.0041056	0.0033865	0.005979	0.0041684	0.0018292	0.00034245	0.0011682	0.011937	0.007876	0.0070722	0.0010196	0.0010192	0.00011632	5.4024e-05	1.4978e-05	-16557758.883
10432	0.25161	0.0040941	0.0033706	0.0059662	0.0044168	0.0018253	0.00034172	0.0011657	0.011921	0.0078644	0.0070754	0.0010174	0.001017	0.00011607	5.3908e-05	1.4946e-05	-16557772.318
10434	0.25185	0.0040955	0.0033712	0.0059662	0.0040995	0.0018253	0.00034172	0.0011657	0.011934	0.0078617	0.0070741	0.0010174	0.001017	0.00011607	5.3908e-05	1.4946e-05	-16557832.394
10436	0.25176	0.0040978	0.0033711	0.0059662	0.0036827	0.0018253	0.00034172	0.0011657	0.011934	0.0078573	0.0070744	0.0010174	0.001017	0.00011607	5.3908e-05	1.4946e-05	-16557662.056
10438	0.2516	0.0041073	0.0033671	0.0059737	0.0030961	0.0018276	0.00034215	0.0011672	0.011949	0.007859	0.0071005	0.0010187	0.0010183	0.00011621	5.3976e-05	1.4964e-05	-16557661.573
10440	0.25137	0.004102	0.0033669	0.0059737	0.0025583	0.0018276	0.00034215	0.0011672	0.011935	0.0078692	0.007101	0.0010187	0.0010183	0.00011621	5.3976e-05	1.4964e-05	-16557820.878
10442	0.25121	0.004102	0.0033737	0.0059799	0.0024672	0.0018295	0.00034251	0.0011684	0.011947	0.0078855	0.0071015	0.0010197	0.0010193	0.00011634	5.4032e-05	1.498e-05	-16557448.426
10444	0.252	0.0041062	0.0033811	0.0059926	0.0018494	0.0018334	0.00034323	0.0011709	0.011973	0.0079108	0.007116	0.0010219	0.0010215	0.00011658	5.4147e-05	1.5012e-05	-16557960.183
10446	0.25197	0.0040959	0.0033713	0.0059753	0.0021885	0.0018281	0.00034224	0.0011675	0.011934	0.007885	0.0070955	0.0010189	0.0010185	0.00011625	5.399e-05	1.4968e-05	-16557451.531
10448	0.25132	0.0040796	0.0033686	0.0059642	0.0024352	0.0018247	0.00034161	0.0011653	0.01192	0.0078872	0.0070748	0.001017	0.0010166	0.00011603	5.389e-05	1.4941e-05	-16557993.641
